"Street","City","State","Zip","Price","SqFt","Acreage","Beds","Baths","geoadd","Latitude","Longitude","CheckAddDuplicate"
"103 Meadow Side Ct","Carrollton","GA",30116,2249,1436,0.42,3,2,"103 Meadow Side Ct, Carrollton, GA 30116",33.5681637,-85.0406195,FALSE
"39 Mountain View Dr","Rockmart","GA",30153,2675,3107,0.36,4,3,"39 Mountain View Dr, Rockmart, GA 30153",34.0096223,-85.0175193,FALSE
"32 Mountain View Dr","Rockmart","GA",30153,2099,1276,0.35,3,2,"32 Mountain View Dr, Rockmart, GA 30153",34.008885,-85.0186157,FALSE
"381 Wingfoot St","Rockmart","GA",30153,2190,1447,0.33,3,2,"381 Wingfoot St, Rockmart, GA 30153",34.0041583,-85.0338407,FALSE
"30 Standing Rock Rd","Senoia","GA",30276,2200,1728,1.03,3,2,"30 Standing Rock Rd, Senoia, GA 30276",33.3056957,-84.5581504,FALSE
"206 Florence Rd","Peachtree City","GA",30269,2495,2142,0,3,2,"206 Florence Rd, Peachtree City, GA 30269",33.4197877,-84.610457,FALSE
"603 Lexington Vlg","Peachtree City","GA",30269,2480,2045,0,3,3.5,"603 Lexington Vlg, Peachtree City, GA 30269",33.4215997,-84.561466,FALSE
"102 Cornflower Ct","Peachtree City","GA",30269,2450,1987,0.5,4,2,"102 Cornflower Ct, Peachtree City, GA 30269",33.3961389,-84.5585597,FALSE
"129 Pheasant Rdg","Peachtree City","GA",30269,2035,1345,0,3,2,"129 Pheasant Rdg, Peachtree City, GA 30269",33.3837528,-84.5570451,FALSE
"329 Caledonia Ct","Peachtree City","GA",30269,3700,3021,0,4,3.5,"329 Caledonia Ct, Peachtree City, GA 30269",33.4279896,-84.6059147,FALSE
"303 Glenview Dr","Peachtree City","GA",30269,2535,2200,0,4,3.5,"303 Glenview Dr, Peachtree City, GA 30269",33.3998953,-84.6056563,FALSE
"150 S Fairfield Dr","Peachtree City","GA",30269,2115,1337,0,3,2,"150 S Fairfield Dr, Peachtree City, GA 30269",33.4119782,-84.6012388,FALSE
